AGGH,"Honiara International Airport","Solomon Islands",-9.42818,160.046,0,15.69,
BIKF,"Keflavík International Airport",Iceland,63.994,-22.6238,0,15.69,
CYCW,"Chilliwack Airport",Canada,49.1533,-121.939,0,15.65,
CYHZ,"Halifax Stanfield International Airport",Canada,44.8797,-63.5103,0,15.69,
CYPK,"Pitt Meadows Airport",Canada,49.2161,-122.713,0,15.46,
CYVR,"Vancouver International Airport",Canada,49.1902,-123.184,0,0,
CYYC,"Calgary International Airport",Canada,51.1215,-114.008,1,15.69,
CYYZ,"Toronto Pearson International Airport",Canada,43.6772,-79.6305,1,0,
EBBR,"Brussels Airport",Belgium,50.54,4.29,0,15.69,
EDDB,"Berlin Brandenburg Airport",Germany,52.3648,13.5117,1,15.69,
EDDF,"Frankfurt Airport",Germany,50.0264,8.54313,1,15.69,
EDDH,"Hamburg Airport",Germany,53.6303,9.99111,0,15.69,
EDDL,"Düsseldorf Airport",Germany,51.2894,6.76667,0,15.69,
EDDM,"Munich Airport",Germany,48.21,11.47,0,15,
EDDS,Stuttgart,Germany,48.6876,9.2056,0,0,
EFHK,"Helsinki-Vantaa Airport",Finland,60.3172,24.9633,0,15.69,
EGAA,"Belfast International Airport","United Kingdom",54.6563,-6.2171,1,15.69,
EGBB,"Birmingham Airport","United Kingdom",52.4538,-1.74802,0,15.69,
EGCC,"Manchester Airport","United Kingdom",53.3634,-2.27418,0,15.69,
EGKK,"Gatwick Airport","London Gatwick",51.1481,-0.190278,0,15.69,
EGLL,"London Heathrow Airport","United Kingdom",51.4775,-0.46138,1,15.69,
EGNM,"Leeds Bradford Airport",Norway,53.8679,-1.6615,1,15.69,
EGNX,"East Midlands Airport","United Kingdom",52.8294,-1.33213,0,15.69,
EGSS,"London Stansted Airport","United Kingdom",51.885,0.235,0,15.69,
EHAM,"Amsterdam Airport Schiphol",Netherlands,52.308,4.7641,0,15.69,
EIDW,"Dublin International Airport",Ireland,53.4264,-6.2499,1,15.69,
EINN,"Shannon Airport",Ireland,52.7019,-8.92472,0,15.69,
EKCH,"Copenhagen Airport",Denmark,55.6084,12.6454,1,15.69,
ELLX,"Luxembourg Airport",Luxembourg,49.6289,6.2147,0,0,
ENGM,"Oslo International Airport",Norway,60.1976,11.1004,1,15.69,
ENTC,"Tromsø Airport",Norway,69.6819,18.9163,0,15.69,
ENVA,"Trondheim Værnes International Airport",Norway,63.4583,10.9226,0,15.69,
EPWA,"Warsaw Chopin Airport",Poland,38.2494,-93.4984,0,52,
EPWR,"Copernicus Airport Wroc?aw",Poland,51.1093,16.8804,0,15.69,
ESSA,"Stockholm Arlanda Airport",Sweden,59.6519,17.9186,1,15.69,
ESSD,"Dala Airport",Sweden,60.4219,15.515,0,15.69,
FACT,"Cape Town International Airport","South Africa",-33.9694,18.5961,0,15.69,
FALE,"King Shaka Intl","South Africa ",-29.6144,31.1197,0,0,
FIMP,"Sir Seewoosagur Ramgoolam Intl",Mauritius,-20.4302,57.6836,0,15.69,
FLKK,"Lusaka Kenneth Kaunda International Airport",Zambia,-15.3251,28.446,0,15.69,
FMCH,"Moroni Prince Said Ibrahim International Airport",Comoros,-11.5362,43.2749,0,15.69,
FMEE,"Roland Garros Airport",Reunion,-20.8919,55.5122,0,0,
FMMI,"Antananarivo Ivato International Airport ",Madagascar,-18.7994,47.4753,0,15.69,
FNLU,"Quatro de Fevereiro Airport",Angola,-8.8481,13.2351,0,15.69,
FSIA,"Seychelles International Airport",Seychelles,-4.6711,55.5114,0,15.69,
FWKI,"Lilongwe Kamuzu International Airport",Malawi,-13.7804,33.7802,0,15.69,
FYWH,"Hosea Kutako International Airport",Namibia,-22.486,17.4633,0,0,
FZNA,"Goma International Airport","Democratic Republic of Congo",-1.66336,29.2392,0,15.69,
GCXO,"Tenerife North–Ciudad de La Laguna Airport",Spain,28.4873,-16.346,0,15.69,
GMME,"Rabat Sale Airport",Morocco,34.0472,-6.76175,0,15.69,
GOBD,"Blaise Diagne International Airport",Senegal,14.6711,-17.0672,0,15.69,
HAAB,"Addis Ababa Bole International",Ethopia,8.9834,38.7963,0,0,
HCMM,"Mogadishu International Airport",Somalia,2.018,45.3035,0,15.69,
HDAM,"Ambouli International Airport",Djibouti,11.5476,43.154,0,15.69,
HECA,"Cairo International Airport",EGYPT,30.1219,31.4056,0,15.6,
HKJK,"Nairobi Jomo Kenyatta International Airport",Kenya,-1.31924,36.9278,0,15.69,
HSSK,"Khartoum International Airport",Sudan,15.5971,32.5498,0,15.69,
HSSS,"Khartoum New Airport",Sudan,15.5976,32.5505,0,15.69,
HTDA,"Dar es Salaam Julius Nyerere International Airport",Tanzania,-6.8725,39.2069,0,15.69,
IN-00,"Tawang Air Force Station",India,27.5885,91.8777,0,15.69,
IN-JG,"Jagdalpur Airport",India,19.0743,82.0368,0,15.69,
IN-NV,"Neyveli Airport",India,11.613,79.5274,0,15.69,
IN-RJ,"Rajouri Airport",India,33.3779,74.3152,0,15.69,
IN-TE,"Tezu Airport",India,27.9412,96.1344,0,15.69,
IN-VA,"Sirohi Airport",India,24.8951,72.8459,0,15.69,
IN-VO,"KopalHospet Airport",India,15.3583,76.5167,0,15.69,
KASE,"Aspen/Pitkin County Airport","United States",39.1331,-106.521,0,0,
KATL,"Hartsfield - Jackson Atlanta International Airport",USA,33.6367,-84.4281,1,15.68,
KBOS,"Boston Logan International Airport","United States",42.3656,-71.0096,1,15.69,
KCHS,"Charleston International Airport","United States",32.8978,-80.0403,0,15.69,
KDEN,"Denver International Airport","United States",39.8561,-104.674,1,15.69,
KDFW,"Dallas Fort Worth International Airport","United States",32.8998,-97.0403,1,15.69,
KEWR,"New York Newark Liberty International Airport","United States",40.6925,-74.1686,0,75,
KIAD,"Washington Dulles International Airport","United States",38.9474,-77.4599,0,75,
KIAH,"Houston GB Intercontinental Airport","United States",29.9902,-95.3368,1,15.69,
KJFK,"New York John F. Kennedy International Airport","United States",40.6398,-73.7789,1,75,
KLAX,"Los Angeles International Airport",USA,33.9425,-118.407,1,0,
